,Kommune,Folketall,Utdanning - Grunnskole,Utdanning - Videregående,Utdanning - Universitet (Kort),Utdanning - Universitet (Lang),Utdanning - Ingen,Bøker lånt årlig,Medlem i Den Norske Kirke,Annet livssyn,Forventet levealder (Mann),Forventet levealder (Kvinne),Driftsresultat i prosent,Lånegjeld per innbygger,Driftsinntekter per innbygger,Driftsutgifter per innbygger
293,sel,5789,1576,2278,786,159,21,24 068,"85,2","4,8","79,3","82,9","-0,9",72 275,103 240,104 468
294,selbu,4088,941,1609,609,126,12,15 660,"87,7","3,5","80,1",84,"-0,6",61 169,92 573,96 493
295,selje,2747,762,1014,386,66,9,5 782,"82,8","6,3","80,3","85,2","7,9",81 455,101 640,93 916
296,seljord,2934,635,1084,490,140,19,12 868,"75,2","11,2","79,1","82,8","0,5",79 510,110 456,112 023
297,sigdal,3490,960,1357,395,96,20,8 786,"85,3","4,9","79,7","83,6","1,6",40 642,94 668,94 448
298,siljan,2329,522,885,381,68,4,5 133,"77,5","11,4","79,1","82,8","3,8",51 740,88 369,86 999
299,sirdal,1839,376,678,293,66,4,6 943,77,"10,4","79,7","83,7","-1,3",133 902,183 363,199 328
300,skaun,8231,1531,2707,1368,373,14,18 133,"84,7","5,1","80,1",84,"0,4",87 881,76 877,77 740
301,skedsmo,55652,11985,16110,10022,3788,369,108 748,"59,4","18,5","80,5","84,3","0,7",53 209,75 478,74 805
302,ski,30843,5815,8826,6310,2481,141,75 640,"65,2",15,"80,5","84,3",1,97 591,82 279,81 485
303,skien,54645,13058,17653,9693,2831,285,103 304,67,17,"79,1","82,8",2,64 751,81 831,80 670
304,skiptvet,3797,1100,1311,482,86,12,20 917,78,10,"79,1","82,8","1,2",25 302,84 729,84 772
305,skjervoy,2917,964,892,396,66,20,8 612,"80,7","4,5","79,6","83,9","8,3",96 605,120 132,110 716
306,skjak,2204,483,947,300,67,5,9 448,"86,4","3,1","79,3","82,9","1,6",61 468,111 922,115 402
307,skodje,4764,985,1527,814,170,24,15 095,"80,5","7,5","80,6","84,7","3,5",80 131,82 156,79 260
308,skanland,3009,799,1022,511,108,13,8 731,"84,7","4,5","79,6","83,9",4,100 184,108 113,104 573
309,smola,2134,614,800,289,41,6,3 791,82,"4,7","80,6","84,7","11,5",122 185,138 212,122 327
310,snillfjord,999,254,420,124,15,2,675,"85,2","2,1","80,1",84,—,—,—,—
311,snaase-snasa,2100,461,787,359,94,12,7 021,"87,9","3,5","79,8",84,"-3,5",84 451,106 415,109 690
312,sogndal,8191,1333,2546,1807,666,25,24 523,"80,9","5,6","80,3","85,2","5,4",64 868,97 103,92 241
313,sokndal,3305,789,1303,384,71,8,23 896,"72,7","17,2","80,1",84,"3,2",71 960,91 766,89 965
